Theme,Sub Theme,Feature Name,Co-ordinates
Art Gallery/Museum/Library,Library,The Melbourne Athenaeum Library,"(-37.8148855756416, 144.967291289941)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"(-37.8060684577258, 144.971266479841)"
Place of Worship,Church,St Francis Church,"(-37.8118847831837, 144.962422614541)"
Place of Worship,Church,Wesley Church,"(-37.8101576446961, 144.968168215633)"
Place of Worship,Church,St Augustines Church,"(-37.8169741358546, 144.954862000132)"
Place of Worship,Church,St James Church,"(-37.8101281201969, 144.952468571683)"
Place of Worship,Church,St Mary's Anglican Church,"(-37.8031663672997, 144.953761537074)"
Place of Worship,Church,Romanian Orthodox,"(-37.8052307297468, 144.966986444597)"
Place of Worship,Church,Welsh Presbyterian Church,"(-37.8104478768313, 144.959873260087)"
Place of Worship,Church,Church of Christ,"(-37.8104524079085, 144.96388920294)"
Place of Worship,Church,Scots Church,"(-37.8145687802664, 144.96855105335)"
Place of Worship,Church,St Michael's Uniting Church,"(-37.8143851324913, 144.969174036096)"
Place of Worship,Church,Greek Orthodox Church,"(-37.8088064667555, 144.978259089269)"
Place of Worship,Church,St Peter's Eastern Hill,"(-37.8097086714637, 144.975259178609)"
Place of Worship,Church,Lutheran Trinity Church,"(-37.8109757054396, 144.975729473552)"
Place of Worship,Church,Holy Trinity,"(-37.8140667110854, 144.983197322289)"
Place of Worship,Church,St Johns Lutheran Church,"(-37.8209399677168, 144.967121099857)"
Place of Worship,Church,North Melbourne Uniting,"(-37.8035538471344, 144.947671538375)"
Place of Worship,Church,Melbourne Unitarian Church,"(-37.8114487773394, 144.984664890999)"
Place of Worship,Church,All Nations Uniting Church,"(-37.7959155303946, 144.968981110942)"
Place of Worship,Church,Our Lady of Lebanon Church,"(-37.8025766539683, 144.969334720932)"
Place of Worship,Church,St Michaels,"(-37.7940512679297, 144.945399480629)"
Place of Worship,Church,Ukranian Catholic Cathedral,"(-37.7963084580345, 144.944313454028)"
Place of Worship,Church,St Alban Anglican Church,"(-37.7942169477929, 144.94161451392)"
Place of Worship,Church,Christ Church Kensington,"(-37.7932109480553, 144.92729572288)"
Place of Worship,Church,Holy Rosary,"(-37.7948087414394, 144.928362125005)"
Place of Worship,Church,Collins Street Baptist Church,"(-37.8147011904647, 144.968072486031)"
Place of Worship,Church,St Thomas Aquinas Church,"(-37.8353076902578, 144.976809080472)"
Place of Worship,Church,South Yarra Presbyterian Church,"(-37.8407473645397, 144.98562699348)"
Place of Worship,Church,The Parish of Christ Church South Yarra,"(-37.8386270533576, 144.986009385387)"
Place of Worship,Synagogue,East Melbourne Synagogue,"(-37.809113728917, 144.97422190954)"
Visitor Centre,Visitor Centre,Melbourne Visitor Booth,"(-37.8139525061193, 144.964425882562)"
Leisure/Recreation,Major Sports & Recreation Facility,State Netball Hockey Centre,"(-37.7857860016289, 144.947580972027)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),University Square,"(-37.800410711209, 144.960398319302)"
Leisure/Recreation,Private Sports Club/Facility,Royal Park Golf Course,"(-37.7819171308558, 144.956309119368)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Powlett Reserve,"(-37.8116929882498, 144.987275671763)"
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"(-37.7834303940347, 144.961982577553)"
Retail,Retail,Queen Victoria Market,"(-37.8075002018073, 144.957158515056)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"(-37.8017690847403, 144.971997551189)"
Art Gallery/Museum/Library,Art Gallery/Museum,Old Melbourne Gaol Crime & Justice Experience,"(-37.8077644149636, 144.965463853978)"
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Kings Domain,"(-37.8255239795833, 144.974107925144)"
Landmark,Theatre Live,State Theatre,"(-37.8212806349773, 144.968469643744)"
Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,"(-37.7908082646624, 144.912142987372)"
